Subplot number,Tag,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,,,
1,8208,Tabernaemontana arborea,527,121,33,0,100,broken crown,,,
5,502301,Tabernaemontana arborea,239,211,42,0,100,,,,
14,227131,Tabernaemontana arborea,205,712,44,0,0,fallen tree,,,
18,214181,Tabernaemontana arborea,611,1020,42,0,100,broken crown,,,
20,6531,Tabernaemontana arborea,434,1114,21,0,5,,,,
24,6189,Tabernaemontana arborea,380,1310,43,0,5,,,,
24,5986,Tabernaemontana arborea,410,1410,32,0,5,,,,
47,150579,Tabernaemontana arborea,473,2203,33,0,20,,,,
47,4616,Tabernaemontana arborea,536,2302,21,0,20,,,,
49,4738,Tabernaemontana arborea,460,2217,34,0,50,,,,
72,77140,Tabernaemontana arborea,329,3612,41,0,100,,,,
20,212886,Tachigali versicolor,573,1014,43,0,100,,,,
51,146382,Tachigali versicolor,1005,2308,11,0,100,,,,
28,180934,Terminalia oblonga,245,1604,33,0,100,,,,
51,141788,Terminalia oblonga,282,2409,11,0,25,,,,
58,3686,Terminalia oblonga,376,2805,32,0,100,,,,
58,3682,Terminalia oblonga,685,2805,24,0,100,,,,
15,228441,Tetragastris panamensis,365,719,11,0,100,,,,
23,190972,Tetragastris panamensis,232,1404,41,0,10,,,,
24,6186,Tetragastris panamensis,369,1311,21,0,95,,,,
24,5987,Tetragastris panamensis,500,1410,32,0,100,sub:correcto(1,,,
31,176109,Tetragastris panamensis,225,1707,13,0,5,,,,
31,181485,Tetragastris panamensis,243,1607,32,0,70,,,,
77,1722,Tetragastris panamensis,585,4021,13,0,100,,,,
83,877,Tetragastris panamensis,445,4407,44,0,5,,,,
19,211409,Tocoyena pittieri,276,1008,12,0,5,,,,
36,166315,Tocoyena pittieri,220,1908,32,0,0,,,,
28,515114,Trattinnickia aspera,340,1505,42,0,5,,,,
31,181524,Trattinnickia aspera,203,1607,34,0,25,,,,
65,832406,Trema integerrima,386,3212,43,0,100,,,,
20,6533,Trichilia tuberculata,310,1114,14,0,0,,,,
20,6751,Trichilia tuberculata,340,1015,31,0,5,,,,
20,6755,Trichilia tuberculata,396,1015,13,0,5,a lot of lianas on the stem,,,
20,213134,Trichilia tuberculata,410,1015,41,0,100,,,,
20,6744,Trichilia tuberculata,425,1014,12,0,0,,,,
23,5944,Trichilia tuberculata,310,1404,31,0,100,,,,
24,192071,Trichilia tuberculata,201,1411,24,0,100,,,,
24,191898,Trichilia tuberculata,253,1410,24,0,25,,,,
24,198486,Trichilia tuberculata,334,1311,13,0,100,,,,
24,5989,Trichilia tuberculata,334,1410,13,0,5,,,,
36,166340,Trichilia tuberculata,260,1908,44,0,100,,,,
36,5220,Trichilia tuberculata,412,1907,33,0,50,,,,
36,5219,Trichilia tuberculata,448,1907,44,0,70,,,,
51,4358,Trichilia tuberculata,358,2409,32,0,50,,,,
59,117281,Trichilia tuberculata,224,2813,22,0,25,,,,
65,92451,Trichilia tuberculata,209,3312,23,0,5,,,,
65,97370,Trichilia tuberculata,230,3212,21,0,20,,,,
68,2845,Trichilia tuberculata,358,3314,42,0,100,,,,
68,2683,Trichilia tuberculata,415,3414,21,0,100,,,,
69,82699,Trichilia tuberculata,234,3516,43,0,0,,,,
69,82724,Trichilia tuberculata,316,3516,41,0,5,,,,
69,2475,Trichilia tuberculata,388,3517,31,0,5,,,,
69,82836,Trichilia tuberculata,453,3517,43,0,100,,,,
72,77018,Trichilia tuberculata,256,3612,14,0,100,only lianas on the stem,,,
72,82137,Trichilia tuberculata,275,3512,43,0,100,,,,
77,64084,Trichilia tuberculata,206,3921,14,0,5,,,,
77,1773,Trichilia tuberculata,440,3921,44,0,90,,,,
77,1783,Trichilia tuberculata,496,3920,34,0,100,,,,
82,18136,Trichilia tuberculata,210,4215,42,0,0,,,,
82,18094,Trichilia tuberculata,231,4215,22,0,0,,,,
82,1076,Trichilia tuberculata,354,4315,13,0,95,,,,
91,34035,Trichilia tuberculata,242,4520,14,0,5,,,,
91,683,Trichilia tuberculata,276,4520,33,0,100,broken crown,,,
91,614,Trichilia tuberculata,402,4620,32,0,100,,,,
92,517,Trichilia tuberculata,397,4605,34,0,100,,,,
19,211619,Triplaris cumingiana,212,1008,41,0,90,,,,
58,3605,Triplaris cumingiana,273,2906,41,0,100,,,,
74,67044,Triplaris cumingiana,390,3810,41,0,100,,,,
77,64026,Triplaris cumingiana,279,3920,41,0,100,,,,
82,18082,Triplaris cumingiana,293,4215,14,0,100,,,,
28,180817,Trophis racemosa,280,1604,12,0,5,,,,
40,160756,Virola sebifera,231,2004,23,0,100,,,,
65,92241,Virola sebifera,207,3312,21,0,5,,,,
65,92519,Virola sebifera,234,3312,21,0,10,,,,
72,2507,Virola sebifera,321,3512,44,0,100,,,,
77,57083,Virola sebifera,226,4021,41,0,5,,,,
82,18167,Virola sebifera,215,4214,22,0,15,,,,
82,18197,Virola sebifera,267,4214,31,0,25,,,,
82,42267,Virola surinamensis,577,4314,14,0,100,,,,
91,34090,Virola surinamensis,442,4520,21,0,5,,,,
94,27972,Virola surinamensis,492,4616,11,0,100,,,,
94,588,Virola surinamensis,782,4616,43,0,100,,,,
24,198534,Vochysia ferruginea,562,1311,31,0,100,,,,
36,618074,Vochysia ferruginea,220,1808,14,0,100,,,,
83,41119,Xylopia macrantha,222,4306,34,0,5,,,,
83,36081,Xylopia macrantha,235,4406,42,0,10,,,,
83,40999,Xylopia macrantha,238,4306,13,0,5,,,,
1,700477,Zanthoxylum ekmanii,235,20,23,0,100,,,,
15,233400,Zanthoxylum ekmanii,590,619,22,0,100,,,,
40,155462,Zanthoxylum ekmanii,650,2103,24,0,100,,,,
65,832380,Zanthoxylum ekmanii,200,3212,32,0,100,,,,
8,236864,Zanthoxylum panamense,392,511,14,0,100,,,,
14,232175,Zanthoxylum panamense,501,612,43,0,100,,,,
28,515100,Zanthoxylum panamense,330,1505,33,0,100,,,,
68,434210,Zanthoxylum panamense,294,3415,13,0,100,,,,
68,87710,Alchornea costaricensis,316,3415,33,5,5,,,,
68,87714,Alchornea costaricensis,406,3415,33,5,100,,,,
69,87943,Alchornea costaricensis,429,3416,41,5,100,,,,
28,5895,Alseis blackiana,393,1504,21,5,100,,,,
49,4528,Alseis blackiana,506,2316,21,5,25,sub:correcto(1,,,
74,1989,Alseis blackiana,352,3811,33,5,50,,,,
74,2171,Alseis blackiana,395,3711,22,5,5,,,,
5,8074,Apeiba membranacea,915,212,13,5,100,a lot of lianas on the stem,,,
11,7343,Apeiba membranacea,482,605,23,5,5,,,,
14,7238,Beilschmiedia pendula,270,712,11,5,100,,,,
14,7222,Beilschmiedia pendula,552,713,14,5,25,,,,
82,1277,Cassipourea elliptica,300,4214,11,5,5,,,,
91,673,Chrysophyllum cainito,840,4521,32,5,100,,,,
5,703215,Cordia alliodora,223,312,31,5,100,,,,
5,252185,Cordia bicolor,206,211,43,5,100,,,,
5,252125,Cordia bicolor,324,211,31,5,95,,,,
72,2338,Eugenia nesiotica,358,3613,14,5,50,,,,
74,67223,Guarea guidonia,213,3811,41,5,5,sub correcte: 1,,,
1,8206,Gustavia superba,258,121,24,5,5,,,,
64,104601,Gustavia superba,207,3123,22,5,5,,,,
64,3111,Gustavia superba,232,3223,22,5,25,,,,
69,2698,Gustavia superba,286,3417,42,5,100,broken crown,,,
82,1079,Gustavia superba,230,4314,41,5,5,,,,
31,5651,Heisteria concinna,266,1607,44,5,15,,,,
36,5318,Heisteria concinna,374,1808,41,5,25,,,,
51,141568,Heisteria concinna,266,2408,13,5,20,,,,
69,82777,Heisteria concinna,225,3517,23,5,5,,,,
77,57029,Heisteria concinna,200,4020,34,5,5,,,,
77,1729,Heisteria concinna,400,4021,32,5,5,,,,
92,452,Heisteria concinna,267,4704,34,5,5,,,,
11,7599,Hirtella triandra,329,506,11,5,80,,,,
82,1286,Hirtella triandra,226,4215,24,5,0,,,,
40,160276,Inga marginata,216,2003,24,5,50,,,,
28,180870,Jacaranda copaia,498,1604,24,5,100,,,,
28,5640,Lindackeria laurina,321,1605,21,5,0,,,,
74,67242,Luehea seemannii,202,3811,14,5,0,,,,
36,171064,Posoqueria latifolia,279,1807,21,5,50,,,,
28,186009,Pouteria reticulata,260,1504,33,5,0,,,,
28,180919,Prioria copaifera,211,1604,22,5,5,,,,
69,87926,Prioria copaifera,219,3416,43,5,100,broken crown,,,
1,263544,Protium tenuifolium,216,20,44,5,5,,,,
14,7223,Protium tenuifolium,242,713,34,5,5,,,,
19,206404,Protium tenuifolium,264,1108,22,5,5,,,,
