Tag,q20,Species,DBH_cm,Height,CC,Lianas,Illumination
1251,4210,EUGENE,35.7,19.1,1,0,3
12488,4821,EUGENE,26.5,19.5,4,0,3
7361,608,EUGENE,33.5,24.5,4,0,2
176354,1708,EUGEOE,23.8,16.1,3,1,3
141770,2409,EUGEOE,22.1,17.7,4,0,3
146461,2308,EUGEOE,29.8,17.8,4,4,3
251666,208,EUGEOE,27.6,18.9,4,3,2
197229,1304,EUGEOE,29.8,19.1,4,1,3
108402,3016,EUGEOE,30,24.8,4,0,3
2371,3618,FICUC2,99.1,28.5,2,4,4
285887,2019,FICUOB,93,32.6,4,0,4
6022,1415,FICUOB,87.9,35.5,3,3,4
6716,1009,FICUPO,177,34.3,4,4,4
4462,2323,FICUYO,71.2,32,4,2,3
108,4908,FICUYO,92.4,38.5,4,0,4
4767,2221,GAR2MA,22.3,17.5,4,4,3
198936,1315,GENIAM,29.8,17.9,4,4,3
92240,3311,GUAPST,23.8,19.4,4,1,2
7231,712,GUAPST,47.5,24.1,4,4,4
4090,2621,GUAPST,46.7,24.9,4,4,3
1816,3915,GUAPST,51.5,26.1,3,4,3
5001,2007,GUAPST,42,27.4,2,3,3
7626,502,GUAPST,72.2,27.7,3,0,4
4851,2118,GUAPST,48.5,28.2,3,0,3
5048,2015,GUAPST,51.8,29.4,4,0,3
230141,600,GUAPST,48.5,30.3,4,0,3
1878,3906,GUAPST,61.5,30.3,4,2,4
30247,4501,GUAPST,48.3,30.7,4,4,5
10799,4812,GUAPST,49.3,30.9,4,0,4
7310,700,GUAPST,52.9,32.3,4,2,4
4861,2117,GUAPST,60.7,32.5,4,1,4
2500,3513,GUAPST,77.7,35.4,4,2,4
7496,520,GUAPST,90.1,35.5,4,0,4
4590,2306,GUARGR,45,24.4,3,1,3
2660,3410,GUARGR,86.9,30.8,4,1,4
3761,2816,GUARGR,109.5,34.4,4,0,4
5002,2007,GUARGU,25,12.4,3,4,2
2690,3416,GUARGU,28.4,14.8,2,4,3
5608,1600,GUARGU,41.2,15.9,4,4,3
156491,2109,GUARGU,21.4,16.5,4,0,1
6750,1014,GUARGU,38,16.7,4,0,2
67223,3811,GUARGU,21.1,16.9,4,4,2
133,4904,GUARGU,32.5,16.9,4,0,3
1377,4123,GUARGU,30.6,17.5,3,0,1
1962,3806,GUARGU,26,17.7,4,2,2
8043,208,GUARGU,29.7,18.3,4,1,3
5042,2015,GUARGU,24.2,19,4,1,2
263687,21,GUATDU,22.5,20,3,4,2
4389,2414,GUATDU,27.4,20,4,0,2
228661,720,GUATDU,23,20.4,4,0,4
230878,605,GUATDU,35,20.7,4,2,3
235969,505,GUATDU,41.2,29.1,4,0,3
5631,1604,GUATDU,56,30.7,4,1,4
1376,4123,GUATDU,80.3,37.9,4,1,4
3601,2906,GUATDU,85.5,40.4,4,2,4
3164,3120,GUAZUL,36,17.3,2,4,3
3457,3022,GUAZUL,46.7,18.2,4,2,3
633214,3315,GUAZUL,20.1,18.4,4,0,2
103333,3116,GUAZUL,37.5,19.3,4,0,3
446320,4609,GUAZUL,20.5,19.7,4,0,2
131146,2607,GUAZUL,48.9,22.8,4,1,3
7766,419,GUAZUL,48.6,22.9,1,3,3
131222,2607,GUAZUL,28.7,23.6,4,0,4
633191,3315,GUAZUL,35.3,24,3,0,3
156635,2110,GUAZUL,26.9,24.5,2,0,3
158448,2120,GUAZUL,34.8,25.2,4,1,3
