Tag,q20,Species,DBH_cm,Height,CC,Lianas,Illumination,no height,liana cat 1 height,liana cat 2 height
4146,2519,CEIBPE,153.2,41.1,4,0,5,40.54556942,38.18437927,36.32210512
1993,3812,CEIBPE,216.1,41.1,4,0,5,42.94736535,40.4463055,38.4737159
3853,2717,CEIBPE,127.9,37.4,4,1,5,39.05003103,36.77593426,34.98235078
6647,1003,CEIBPE,176.2,42.7,4,1,4,41.59161982,39.16951244,37.25919278
4446,2424,CEIBPE,46.1,26,3,2,4,27.80275022,26.18364409,24.9066527
28183,4616,CHIMPA,20.6,22.3,4,0,3,17.68185486,16.65214379,15.84000916
6847,920,CHR2AR,32.3,21.9,2,2,4,23.24696805,21.89317002,20.82542752
176143,1707,CHR2AR,28.8,20.1,4,2,3,21.78773509,20.51891618,19.51819683
2673,3413,CHR2CA,100.5,34.4,4,0,4,36.79506023,34.65228274,32.96227097
673,4521,CHR2CA,83.9,34.6,4,0,4,34.92097007,32.88733109,31.28339702
4898,2109,CHR2CA,75.2,31.9,4,1,3,33.71308563,31.74978837,30.20133292
4735,2217,CHR2CA,50.7,23.6,3,2,4,29.00119939,27.31230102,25.98026438
4585,2306,COLUGL,45.6,35,1,2,0,27.66437427,26.05332653,24.7826908
257823,115,CORDAL,27.3,26.9,4,0,4,21.11401953,19.88443476,18.91465943
258071,116,CORDAL,37.8,28.3,4,0,4,25.26469901,23.79339748,22.63297979
173632,1823,CORDBI,23.7,16.4,4,0,3,19.36266694,18.235073,17.345738
217175,912,CORDBI,21.9,20.3,4,0,3,18.40786091,17.33587055,16.49039016
236664,509,CORDBI,27.2,23.3,4,0,2,21.06799502,19.8410905,18.8734291
4385,2414,CORDBI,30.6,26.7,4,0,3,22.55698361,21.24336715,20.2073159
4836,2120,CORDBI,35.2,27.5,4,0,4,24.34917454,22.931189,21.81282172
7302,701,CORDBI,37.8,27.5,4,1,5,25.26469901,23.79339748,22.63297979
258076,116,CORDBI,26.5,16.5,4,2,2,20.74180241,19.53389387,18.58121463
409336,912,CORDBI,24.8,15.3,2,2,4,19.91918767,18.75918449,17.84428827
7347,606,CORDBI,35.3,18.1,4,2,3,24.38560572,22.9654986,21.84545802
6781,1019,CORDBI,30.1,19.5,3,2,3,22.34742084,21.04600837,20.01958243
252149,211,CORDBI,26.8,20.9,4,2,3,20.88246738,19.66636715,18.70722711
525,4606,CORDBI,44,26.9,3,2,2,27.21000937,25.62542178,24.37565522
805,4504,CUPALA,50,26.1,4,0,3,28.82707294,27.1483149,25.82427596
180376,1601,CUPALA,27.1,15.5,4,2,3,21.02182819,19.79761222,18.83207128
4443,2423,DENDAR,28.7,17.9,4,0,2,21.7437707,20.47751207,19.47881202
1390,4121,DENDAR,44.3,21.5,4,0,2,27.29657421,25.70694548,24.45320295
1089,4313,DENDAR,78.4,30.7,4,0,4,34.17889055,32.18846692,30.61861686
6749,1014,DENDAR,23.3,14.1,4,1,2,19.15533462,18.03981477,17.16000262
172148,1815,DENDAR,20.7,13.3,2,1,2,17.7388392,16.70580963,15.89105768
5946,1404,DENDAR,26.6,15.1,4,2,1,20.78883674,19.57818913,18.62334958
4447,2424,DENDAR,31.4,16,3,2,2,22.88593919,21.55316585,20.50200555
244157,420,DENDAR,27.7,14.7,3,2,1,21.29670718,20.0564835,19.07831726
240714,403,DIPTPA,43.8,33.5,4,0,4,27.15194008,25.57073419,24.32363477
138502,2521,DIPTPA,49.8,35.1,4,0,4,28.77680184,27.10097137,25.7792414
7221,713,DIPTPA,74.8,39.9,4,0,4,33.65295468,31.69315916,30.14746555
7715,411,DIPTPA,121.2,40.5,4,0,5,38.57213664,36.32587027,34.55423667
7173,720,DIPTPA,109,41.4,4,0,4,37.58692995,35.39803756,33.67165489
3711,2810,DIPTPA,101.5,41.6,4,0,5,36.89336258,34.74486041,33.05033357
5440,1723,DIPTPA,93.8,41.7,3,0,5,36.09691963,33.99479868,32.33685278
684,4520,DIPTPA,83.2,41.9,4,0,5,34.83035792,32.80199578,31.20222357
1907,3901,DIPTPA,84.5,42.1,4,0,4,34.99779248,32.95967971,31.35221716
3875,2714,DIPTPA,78.9,42.4,4,0,4,34.24931176,32.25478712,30.68170259
1441,4114,DIPTPA,89.3,42.8,4,0,5,35.58565262,33.51330555,31.87884235
7114,819,DIPTPA,100.7,43.3,4,0,5,36.81483706,34.67090785,32.97998772
7927,307,DIPTPA,96.8,43.9,4,0,5,36.41832319,34.29748516,32.62477707
7168,721,DIPTPA,93.5,44.4,4,0,4,36.06395162,33.96375058,32.30731892
465,4702,DIPTPA,102.3,47.3,4,0,5,36.97096942,34.81794777,33.11985642
4186,2513,DIPTPA,138.3,48.4,4,0,5,39.71811272,37.4051099,35.58084116
1342,4221,DIPTPA,174.6,54.9,4,0,5,41.5263569,39.10805014,37.20072803
2854,3312,DIPTPA,60.5,36.2,4,1,4,31.17384903,29.35842539,27.92659809
6058,1420,DIPTPA,85.5,34.3,4,1,5,35.12412897,33.07865894,31.46539371
6133,1318,DIPTPA,93.1,35.9,4,1,4,36.01975349,33.92212634,32.26772472
129082,4923,DRYPST,26.8,18.5,4,0,3,20.88246738,19.66636715,18.70722711
75514,3603,DRYPST,23.2,21.3,4,0,3,19.10307765,17.99060102,17.11318905
1262,4212,DRYPST,41.1,24.2,4,0,4,26.33872434,24.80487644,23.59512834
45308,4801,DRYPST,22.4,16.9,4,1,3,18.67879133,17.5910232,16.73309888
26867,4610,DRYPST,39.5,19.9,4,1,3,25.82959724,24.3253986,23.13903491
80861,3504,DRYPST,28.2,27.2,4,1,3,21.52194019,20.26859997,19.28008868
521,4605,DRYPST,23.7,16.7,4,1,2,19.36266694,18.235073,17.345738
858,4404,DRYPST,41.6,21.3,4,1,4,26.49355737,24.9506927,23.73383306
96221,3206,DRYPST,23.2,16.4,4,2,3,19.10307765,17.99060102,17.11318905
125511,4903,DRYPST,22,18.7,4,2,3,18.46240774,17.38724081,16.53925507
17573,4212,DRYPST,22.1,20.6,4,2,3,18.51677333,17.4384404,16.58795763
407,4709,DRYPST,22,21.3,4,2,3,18.46240774,17.38724081,16.53925507
